model_id,model_type,params,split,feature,score,rank
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",2,weight,0.067336554569,3
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",2,acceleration,0.0650281944207,4
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",2,full_504 (sw),0.0301715372417,5
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",2,name_datsun 280-zx,0.0272409018083,6
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",2,name_chevy c20,0.0265622885409,7
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",2,make_datsun,0.0262363366609,8
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",2,basi_d100,0.0255785000764,9
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",2,name_buick estate wagon (sw),0.0231101231819,10
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",3,cyli_8,0.528041295672,1
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",3,cyli_6,0.16035588292,2
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",3,year_72,0.0479643516667,3
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",3,basi_gran,0.0427020722442,4
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",3,name_pontiac astro,0.0416796563237,5
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",3,basi_610,0.0374610676269,6
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",3,make_volkswagen,0.0279505174855,7
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",3,name_toyouta corona mark ii (sw),0.026556949162,8
