model_id,model_type,params,threshold,subsample,learning_rate,random_state,max_depth,n_estimators,roc_auc_avg,roc_auc_std,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std
GB_paramset-16,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 10}",0.8,0.1,0.001,1,3,10,0.926403351196,0.0202856154508,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-16,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 10}",0.9,0.1,0.001,1,3,10,0.926403351196,0.0202856154508,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-17,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 10}",0.5,0.5,0.001,1,3,10,0.926303658541,0.0299570518488,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-17,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 10}",0.6,0.5,0.001,1,3,10,0.926303658541,0.0299570518488,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-17,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 10}",0.7,0.5,0.001,1,3,10,0.926303658541,0.0299570518488,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-17,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 10}",0.8,0.5,0.001,1,3,10,0.926303658541,0.0299570518488,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-17,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 10}",0.9,0.5,0.001,1,3,10,0.926303658541,0.0299570518488,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-18,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 10}",0.5,1.0,0.001,1,3,10,0.881634160307,0.0456214367261,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-18,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 10}",0.6,1.0,0.001,1,3,10,0.881634160307,0.0456214367261,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-18,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 10}",0.7,1.0,0.001,1,3,10,0.881634160307,0.0456214367261,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-18,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 10}",0.8,1.0,0.001,1,3,10,0.881634160307,0.0456214367261,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
